calorie requirement,average sleep duration,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,year,species_ADELIE,species_CHINSTRAP,species_GENTOO,island_BISCOE,island_DREAM,island_TORGERSEN,gender
0.8283238559436772,0.5714285714285714,0.2545454545454545,0.6666666666666666,0.7737556561085973,0.5293466223698782,0.0,True,False,False,False,False,True,male
0.3753046303818034,1.0,0.26909090909090905,0.5119047619047618,0.7963800904977375,0.5385751199704688,0.0,True,False,False,False,False,True,female
0.9964798266991606,0.5714285714285714,0.29818181818181805,0.5833333333333334,0.8371040723981901,0.43706164636397193,0.0,True,False,False,False,False,True,female
0.1800704034660168,0.14285714285714285,0.5054545454545454,0.7023809523809524,0.8506787330316742,0.020302694721299374,0.0,True,False,False,False,False,True,male
0.3438938532358516,0.14285714285714285,0.16727272727272732,0.7380952380952381,0.8280542986425339,0.4739756367663344,0.0,True,False,False,False,False,True,female
0.24343352288112646,0.8571428571428571,0.26181818181818167,0.892857142857143,0.8144796380090498,0.5108896271686969,0.0,True,False,False,False,False,True,male
0.4243162740319523,0.5714285714285714,0.24727272727272717,0.5595238095238096,0.7737556561085973,0.5062753783684016,0.0,True,False,False,False,False,True,female
0.892228540481993,0.2857142857142857,0.25818181818181823,0.773809523809524,0.8371040723981901,0.7000738279808048,0.0,True,False,False,False,False,True,male
0.5656647711887355,0.14285714285714285,0.07272727272727272,0.5952380952380955,0.8280542986425339,0.47858988556662974,0.0,True,False,False,False,False,True,male
0.7503384782020038,0.0,0.35999999999999993,0.8452380952380951,0.8144796380090498,0.6216315983757844,0.0,True,False,False,False,False,True,male
0.44164635797454643,0.42857142857142855,0.2072727272727271,0.4761904761904764,0.7963800904977375,0.44629014396456257,0.0,True,False,False,False,False,True,male
0.6815597075548334,0.0,0.2072727272727271,0.5000000000000001,0.7692307692307693,0.5201181247692875,0.0,True,False,False,False,False,True,male
0.8502572434335229,0.7142857142857143,0.32727272727272727,0.5357142857142859,0.7782805429864253,0.4278331487633813,0.0,True,False,False,False,False,True,female
0.35418359057676685,0.42857142857142855,0.23636363636363636,0.9642857142857142,0.8190045248868778,0.5385751199704688,0.0,True,False,False,False,False,True,male
0.3008394259409694,0.2857142857142857,0.09090909090909091,0.9523809523809526,0.8506787330316742,0.6493170911775563,0.0,True,False,False,False,False,True,male
0.9542377470890875,0.42857142857142855,0.16363636363636364,0.5595238095238096,0.7918552036199095,0.5201181247692875,0.0,True,False,False,False,False,True,female
0.13187110750067696,0.7142857142857143,0.24000000000000005,0.7023809523809524,0.8371040723981901,0.4739756367663344,0.0,True,False,False,False,False,True,female
0.5548334687246141,0.14285714285714285,0.08363636363636354,0.6309523809523808,0.7873303167420814,0.4509043927648579,0.0,True,False,False,False,False,True,female
0.982669916057406,0.0,0.5054545454545454,1.0,0.832579185520362,0.6124031007751938,0.0,True,False,False,False,False,True,male
0.17546709991876522,0.0,0.2072727272727271,0.6190476190476192,0.7420814479638009,0.46474713916574384,0.0,True,False,False,True,False,False,female
0.1389114541023558,0.7142857142857143,0.13818181818181807,0.7261904761904762,0.8099547511312217,0.5385751199704688,0.0,True,False,False,True,False,False,female
0.2799891686975359,0.5714285714285714,0.22181818181818186,0.5952380952380955,0.7918552036199095,0.5662606127722407,0.0,True,False,False,True,False,False,male
0.8662334145681018,0.42857142857142855,0.24363636363636348,0.488095238095238,0.7692307692307693,0.5385751199704688,0.0,True,False,False,True,False,False,male
0.6688329271594909,0.8571428571428571,0.11636363636363621,0.6904761904761904,0.8009049773755657,0.5385751199704688,0.0,True,False,False,True,False,False,female
0.4156512320606553,0.14285714285714285,0.3090909090909091,0.654761904761905,0.7828054298642534,0.4924326319675157,0.0,True,False,False,True,False,False,male
0.8248036826428378,0.14285714285714285,0.3054545454545454,0.5714285714285713,0.8009049773755657,0.4278331487633813,0.0,True,False,False,True,False,False,female
0.10722989439480098,0.5714285714285714,0.2109090909090908,0.654761904761905,0.7330316742081447,0.4186046511627907,0.0,True,False,False,True,False,False,female
0.47386948280530733,0.0,0.3054545454545454,0.6904761904761904,0.7692307692307693,0.5662606127722407,0.0,True,False,False,True,False,False,male
